id,english_text,human_bengali_reference
98,We gotta get you to a hospital.,আমি তোমাকে হাসপাতালে নিয়ে যাবো.
99,"Created man , out of a ( mere ) clot of congealed blood :",সৃষ ্ টি করেছেন মানুষকে জমাট রক ্ ত থেকে ।
100,"What if we were to transfer the consciousness of one person, say a father of four with terminal cancer, into the body of this man?","কারো চেতনা শক্তি যদি আমরা স্থানান্তর করি, তাহলে কী হবে, ধরা যাক টার্মিনাল ক্যান্সারের একজন রোগী যার চার বাচ্চা, এই লোকের দেহে ঢুকিয়ে দেই?"
101,A recent Bekhsoos article was called “5 Reasons Health Care for Lesbians in Lebanon is at Stake”:,"সম্প্রতি বেকহোসস-এ এক প্রবন্ধ প্রকাশিত হয়েছে যার শিরোনাম, “লেবাননের মহিলা সমকামীদের স্বাস্থ্য সচেতনতা বাড়ানোর পাঁচটি কারণ”:"
102,"You're gonna be looking at my people going through their bank statements, their phone calls and medical records.","তুমি আমার লোকদের দেখতে পারবে ... ...তাদের ব্যাংক বিবরণী , তাদের ফোন কল... তাদের মেডিক্যাল রেকর্ড ."
103,Prescription medicine...,কিছু ওষুধ...
104,Delete Virus!,ভাইরাসকে ডিলিট করে দে! ...
105,"He used to be a doctor, but gave it all up to peel potatoes.","সে ডাক্তার হতে চেয়েছিল, কিন্তু এখন আলু!"
106,Your blood dies with you.,আপনার রক্ত আপনার সাথে মারা যাবে।
107,The duplicate key to Virus's office,ভাইরাসের অফিসের ডুপ্লিকেট চাবি
108,"- Well, Medical doesn't agree, Doc.","আচ্ছা, মেডিকেল এই ব্যাপারে সম্মত নয়, ডক।"
109,"Consider the facts: He's been unlawfully held in pre-trial detention for two years without conviction, denied urgent medical care to treat his condition (which the prosecutor illegally disclosed to the media as HIV), and he has been offered relief and medical care only in exchange for invented false testimony against Mikhail Khodorkovsky and other Yukos prisoners.","বাস্তবতা বিবেচনা করেন: কোন অভিযোগ ছাড়া বিচার পূর্ববর্তী অবস্থায় দুই বছর ধরে তাকে আটকিয়ে রাখা হয়েছে, জরুরী চিকিৎসা দেয়া হয় নি তার অসুখের জন্য ( যা প্রতিপক্ষের আইনজীবি বেআইনী ভাবে মিডিয়াকে জানিয়ে দিয়েছিল এইচআইভি হিসেবে), আর তাকে চিকিৎসা তক্ষুনি দেয়া হয়েছে যখন সে মিখাইল খদরকভস্কি আর অন্যান্য ইউকুস বন্দীদের নামে মিথ্যা সাক্ষ্য দিত।"
